_id,ilce_adi,mahalle_adi,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma
1,ADALAR,BURGAZADA,40139,54,99,256,241,8,6,24,42,0,0,1,398
2,ADALAR,HEYBELİADA,40142,101,175,423,393,25,21,66,113,1,1,2,763
3,ADALAR,KINALIADA,40143,53,97,287,302,5,3,15,27,0,1,1,420
4,ADALAR,MADEN,40140,104,192,483,484,22,18,64,113,1,1,2,847
5,ADALAR,NİZAM,40141,101,180,445,422,16,13,48,83,1,2,2,687
6,ARNAVUTKÖY,ADNAN MENDERES,40490,1,3,21,57,0,0,1,3,0,0,0,89
7,ARNAVUTKÖY,ANADOLU,99359,2,13,108,371,0,0,8,26,1,1,1,659
8,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,40478,1,6,51,199,0,0,2,10,0,1,1,273
9,ARNAVUTKÖY,ATATÜRK,40482,1,6,49,129,0,0,2,8,0,0,0,209
10,ARNAVUTKÖY,BAKLALI,191981,1,5,23,65,0,0,0,0,0,0,0,26
11,ARNAVUTKÖY,BALABAN,191983,0,1,7,25,0,0,0,0,0,0,0,7
12,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,40483,2,14,95,249,0,0,3,10,0,1,1,246
13,ARNAVUTKÖY,BOLLUCA,40487,1,6,46,125,0,0,1,5,0,0,0,177
14,ARNAVUTKÖY,BOYALIK,191985,1,4,21,63,0,0,0,0,0,0,0,24
15,ARNAVUTKÖY,ÇİLİNGİR,40494,1,5,28,76,0,0,0,0,0,0,0,38
16,ARNAVUTKÖY,DELİKLİKAYA,40910,1,7,50,120,0,0,0,2,1,1,1,173
17,ARNAVUTKÖY,DURSUNKÖY,40911,1,5,18,45,0,0,0,1,0,0,0,22
18,ARNAVUTKÖY,DURUSU,40915,0,2,10,30,0,0,0,0,0,0,0,16
19,ARNAVUTKÖY,FATİH,40495,1,4,21,59,0,0,0,1,0,0,0,51
20,ARNAVUTKÖY,HACIMAŞLI,191975,0,3,16,41,0,0,0,0,0,0,0,20
21,ARNAVUTKÖY,HADIMKÖY,40913,1,7,63,203,0,0,0,4,1,1,1,387
22,ARNAVUTKÖY,HARAÇÇI,40489,2,12,82,230,0,0,0,4,1,1,1,209
23,ARNAVUTKÖY,HASTANE,40912,1,6,45,147,0,0,0,5,0,0,0,148
24,ARNAVUTKÖY,HİCRET,40486,0,3,24,61,0,0,0,2,0,0,0,91
25,ARNAVUTKÖY,İMRAHOR,40481,3,17,96,255,0,0,2,11,1,1,1,301
26,ARNAVUTKÖY,İSLAMBEY,40479,2,11,88,268,0,0,4,18,1,0,1,395
27,ARNAVUTKÖY,KARABURUN,191987,0,3,32,112,0,0,0,0,0,0,0,34
28,ARNAVUTKÖY,KARLIBAYIR,40488,2,9,60,186,0,0,1,8,0,0,1,188
29,ARNAVUTKÖY,MAREŞAL FEVZİ ÇAKMAK,40493,1,6,50,141,0,0,0,1,0,1,1,115
30,ARNAVUTKÖY,MAVİGÖL,40485,1,6,53,146,0,0,0,3,0,0,0,146
31,ARNAVUTKÖY,MEHMET AKİF ERSOY,40491,1,4,26,73,0,0,0,3,0,0,1,132
32,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA,99358,1,7,53,161,0,0,3,11,0,0,1,254
33,ARNAVUTKÖY,NENEHATUN,99357,1,5,43,124,0,0,0,7,0,0,1,180
34,ARNAVUTKÖY,ÖMERLİ,40906,1,7,49,124,0,0,0,3,1,0,0,189
35,ARNAVUTKÖY,SAZLIBOSNA,40907,0,5,26,68,0,0,0,1,0,0,0,46
36,ARNAVUTKÖY,TAŞOLUK,40492,1,6,44,122,0,0,1,6,0,0,1,120
37,ARNAVUTKÖY,TAYAKADIN,191977,3,12,57,162,0,0,0,1,0,0,0,92
38,ARNAVUTKÖY,TERKOS,40914,1,4,19,58,0,0,0,0,0,0,0,22
39,ARNAVUTKÖY,YASSIÖREN,191989,0,1,12,41,0,0,0,0,0,0,0,11
40,ARNAVUTKÖY,YAVUZ SELİM,40480,2,9,64,180,0,0,1,9,0,0,1,250
41,ARNAVUTKÖY,YENİKÖY,191979,1,5,39,121,0,0,0,0,0,1,1,43
42,ARNAVUTKÖY,YEŞİLBAYIR,40908,1,4,27,69,0,0,0,0,0,0,0,29
43,ARNAVUTKÖY,YUNUS EMRE,40484,1,10,88,244,0,0,5,16,0,0,1,403
44,ATAŞEHİR,AŞIKVEYSEL,98687,5,18,102,266,4,3,12,26,0,0,0,465
45,ATAŞEHİR,ATATÜRK,99749,2,12,76,209,2,0,11,30,0,1,1,706
46,ATAŞEHİR,BARBAROS,40527,14,50,248,498,11,9,42,88,1,1,2,1281
47,ATAŞEHİR,ESATPAŞA,40793,5,20,140,422,3,1,14,33,0,0,1,598
48,ATAŞEHİR,FERHATPAŞA,40577,4,26,191,493,0,0,5,26,1,1,2,784
49,ATAŞEHİR,FETIH,40795,1,3,26,102,1,0,3,7,0,0,0,203
50,ATAŞEHİR,İÇERENKÖY,40530,23,76,465,1180,19,8,61,133,1,1,3,2792
51,ATAŞEHİR,İNÖNÜ,40534,4,17,115,392,2,0,14,36,0,0,1,775
52,ATAŞEHİR,KAYIŞDAĞI,40533,10,52,352,785,7,2,31,76,1,1,2,1930
53,ATAŞEHİR,KÜÇÜKBAKKALKÖY,40531,13,41,200,501,11,6,35,71,1,1,2,1284
54,ATAŞEHİR,MEVLANA,99516,1,8,64,188,2,0,7,20,0,0,0,470
55,ATAŞEHİR,MİMAR SİNAN,99519,2,13,81,203,1,0,7,18,0,0,0,370
56,ATAŞEHİR,MUSTAFA KEMAL,40740,8,28,145,345,6,4,18,40,0,0,1,643
